score,text,casefolding_text,cleaning_text,slangword_text,tokenizing_text,stopword_text,final_text,label,text_length
3,Masuk ber-belit² ... dibuat susah tdk ada niat ...,masuk ber-belit² ... dibuat susah tdk ada niat ...,masuk berbelit dibuat susah tdk ada niat,masuk berbelit dibuat susah tidak ada niat,"['masuk', 'berbelit', 'dibuat', 'susah', 'tidak', 'ada', 'niat']","['masuk', 'berbelit', 'susah', 'tidak', 'ada', 'niat']",masuk berbelit susah tidak ada niat,netral,6
1,Niat pak mahfud bagus...tapi yg buat aplikasi setengah niat..untuk login saja susah.........indonesia kapan majunya kalau seperti ini..hadeehh🤔🤔🤔,niat pak mahfud bagus...tapi yg buat aplikasi setengah niat..untuk login saja susah.........indonesia kapan majunya kalau seperti ini..hadeehh🤔🤔🤔,niat pak mahfud bagustapi yg buat aplikasi setengah niatuntuk login saja susahindonesia kapan majunya kalau seperti inihadeehh,niat pak mahfud bagustapi yang buat aplikasi setengah niatuntuk login saja susahindonesia kapan majunya kalau seperti inihadeehh,"['niat', 'pak', 'mahfud', 'bagustapi', 'yang', 'buat', 'aplikasi', 'setengah', 'niatuntuk', 'login', 'saja', 'susahindonesia', 'kapan', 'majunya', 'kalau', 'seperti', 'inihadeehh']","['niat', 'mahfud', 'bagustapi', 'aplikasi', 'niatuntuk', 'login', 'susahindonesia', 'majunya', 'inihadeehh']",niat mahfud bagustapi aplikasi niatuntuk login susahindonesia majunya inihadeehh,negatif,9
5,aplikasi lapor tidak bisa dibuka.,aplikasi lapor tidak bisa dibuka.,aplikasi lapor tidak bisa dibuka,aplikasi laporan tidak bisa dibuka,"['aplikasi', 'laporan', 'tidak', 'bisa', 'dibuka']","['aplikasi', 'laporan', 'tidak', 'bisa', 'dibuka']",aplikasi laporan tidak bisa dibuka,positif,5
1,"Sepertinya Aplikasi ini sengaja di rekayasa agar masyarakat kesulitan dan gagal melapor, karena untuk Daftar dan Login saja DIPERSULIT..! Ingat ya, saya install aplikasi ini sambil saya VIDEOKAN dengan disaksikan banyak orang serta Aparat, dan akan segera saya VIRALKAN nanti biar kalian malu..!! Segera perbaiki sebelum kami konfirmasikan langsung hal ini kepada Presiden. Jangan sampai Dirjen APTIKA dipanggil dan di non-aktifkan karena hal sepele ini. Segera perbaiki ya, Terimakasih!","sepertinya aplikasi ini sengaja di rekayasa agar masyarakat kesulitan dan gagal melapor, karena untuk daftar dan login saja dipersulit..! ingat ya, saya install aplikasi ini sambil saya videokan dengan disaksikan banyak orang serta aparat, dan akan segera saya viralkan nanti biar kalian malu..!! segera perbaiki sebelum kami konfirmasikan langsung hal ini kepada presiden. jangan sampai dirjen aptika dipanggil dan di non-aktifkan karena hal sepele ini. segera perbaiki ya, terimakasih!",sepertinya aplikasi ini sengaja di rekayasa agar masyarakat kesulitan dan gagal melapor karena untuk daftar dan login saja dipersulit ingat ya saya install aplikasi ini sambil saya videokan dengan disaksikan banyak orang serta aparat dan akan segera saya viralkan nanti biar kalian malu segera perbaiki sebelum kami konfirmasikan langsung hal ini kepada presiden jangan sampai dirjen aptika dipanggil dan di nonaktifkan karena hal sepele ini segera perbaiki ya terimakasih,sepertinya aplikasi ini sengaja di rekayasa agar masyarakat kesulitan dan gagal melapor karena untuk daftar dan login saja dipersulit ingat ya saya install aplikasi ini sambil saya videokan dengan disaksikan banyak orang serta aparat dan akan segera saya viralkan nanti biar kalian malu segera perbaiki sebelum kami konfirmasikan langsung hal ini kepada presiden jangan sampai dirjen aptika dipanggil dan di nonaktifkan karena hal sepele ini segera perbaiki ya terimakasih,"['sepertinya', 'aplikasi', 'ini', 'sengaja', 'di', 'rekayasa', 'agar', 'masyarakat', 'kesulitan', 'dan', 'gagal', 'melapor', 'karena', 'untuk', 'daftar', 'dan', 'login', 'saja', 'dipersulit', 'ingat', 'ya', 'saya', 'install', 'aplikasi', 'ini', 'sambil', 'saya', 'videokan', 'dengan', 'disaksikan', 'banyak', 'orang', 'serta', 'aparat', 'dan', 'akan', 'segera', 'saya', 'viralkan', 'nanti', 'biar', 'kalian', 'malu', 'segera', 'perbaiki', 'sebelum', 'kami', 'konfirmasikan', 'langsung', 'hal', 'ini', 'kepada', 'presiden', 'jangan', 'sampai', 'dirjen', 'aptika', 'dipanggil', 'dan', 'di', 'nonaktifkan', 'karena', 'hal', 'sepele', 'ini', 'segera', 'perbaiki', 'ya', 'terimakasih']","['aplikasi', 'sengaja', 'rekayasa', 'masyarakat', 'kesulitan', 'gagal', 'melapor', 'daftar', 'login', 'dipersulit', 'saya', 'install', 'aplikasi', 'saya', 'videokan', 'disaksikan', 'orang', 'aparat', 'saya', 'viralkan', 'biar', 'kalian', 'malu', 'perbaiki', 'kami', 'konfirmasikan', 'langsung', 'presiden', 'dirjen', 'aptika', 'dipanggil', 'nonaktifkan', 'sepele', 'perbaiki', 'terimakasih']",aplikasi sengaja rekayasa masyarakat kesulitan gagal melapor daftar login dipersulit saya install aplikasi saya videokan disaksikan orang aparat saya viralkan biar kalian malu perbaiki kami konfirmasikan langsung presiden dirjen aptika dipanggil nonaktifkan sepele perbaiki terimakasih,negatif,35
1,"Kirain mudah unk grmbling memaparkan kecurangan pendaftaran dunia pendidikan di Tangsel,,semoga mempermudah ya,,sebagai negara maju saya berharap dunia pendidikan akan dapat perhatian lebih","kirain mudah unk grmbling memaparkan kecurangan pendaftaran dunia pendidikan di tangsel,,semoga mempermudah ya,,sebagai negara maju saya berharap dunia pendidikan akan dapat perhatian lebih",kirain mudah unk grmbling memaparkan kecurangan pendaftaran dunia pendidikan di tangselsemoga mempermudah yasebagai negara maju saya berharap dunia pendidikan akan dapat perhatian lebih,kirain mudah unk grmbling memaparkan kecurangan pendaftaran dunia pendidikan di tangselsemoga mempermudah yasebagai negara maju saya berharap dunia pendidikan akan dapat perhatian lebih,"['kirain', 'mudah', 'unk', 'grmbling', 'memaparkan', 'kecurangan', 'pendaftaran', 'dunia', 'pendidikan', 'di', 'tangselsemoga', 'mempermudah', 'yasebagai', 'negara', 'maju', 'saya', 'berharap', 'dunia', 'pendidikan', 'akan', 'dapat', 'perhatian', 'lebih']","['kirain', 'mudah', 'unk', 'grmbling', 'memaparkan', 'kecurangan', 'pendaftaran', 'dunia', 'pendidikan', 'tangselsemoga', 'mempermudah', 'yasebagai', 'negara', 'maju', 'saya', 'berharap', 'dunia', 'pendidikan', 'dapat', 'perhatian']",kirain mudah unk grmbling memaparkan kecurangan pendaftaran dunia pendidikan tangselsemoga mempermudah yasebagai negara maju saya berharap dunia pendidikan dapat perhatian,negatif,20
5,mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap,positif,1
2,"Tolong bagi pelaku penyedia layanan vcs yang melakukan pelaporan,mohon untuk tidak di tanggapi laporan nya di karenakan itu tindakan pemerasan di cek kebenarannya apakah dia ingin menjebak korban nya atau dia yang dilecehkan","tolong bagi pelaku penyedia layanan vcs yang melakukan pelaporan,mohon untuk tidak di tanggapi laporan nya di karenakan itu tindakan pemerasan di cek kebenarannya apakah dia ingin menjebak korban nya atau dia yang dilecehkan",tolong bagi pelaku penyedia layanan vcs yang melakukan pelaporanmohon untuk tidak di tanggapi laporan nya di karenakan itu tindakan pemerasan di cek kebenarannya apakah dia ingin menjebak korban nya atau dia yang dilecehkan,tolong bagi pelaku penyedia layanan vcs yang melakukan pelaporanmohon untuk tidak di tanggapi laporan nya di karenakan itu tindakan pemerasan di cek kebenarannya apakah dia ingin menjebak korban nya atau dia yang dilecehkan,"['tolong', 'bagi', 'pelaku', 'penyedia', 'layanan', 'vcs', 'yang', 'melakukan', 'pelaporanmohon', 'untuk', 'tidak', 'di', 'tanggapi', 'laporan', 'nya', 'di', 'karenakan', 'itu', 'tindakan', 'pemerasan', 'di', 'cek', 'kebenarannya', 'apakah', 'dia', 'ingin', 'menjebak', 'korban', 'nya', 'atau', 'dia', 'yang', 'dilecehkan']","['tolong', 'pelaku', 'penyedia', 'layanan', 'vcs', 'pelaporanmohon', 'tidak', 'tanggapi', 'laporan', 'karenakan', 'tindakan', 'pemerasan', 'cek', 'kebenarannya', 'menjebak', 'korban', 'dilecehkan']",tolong pelaku penyedia layanan vcs pelaporanmohon tidak tanggapi laporan karenakan tindakan pemerasan cek kebenarannya menjebak korban dilecehkan,negatif,17
2,Baru tulis laporan tiba-tiba akun keluar sendiri dan masuk di akun ga jelas.pas masuk lagi ke akun sendiri laporan langsung hilang. Mohon untuk meningkatkan kualitas layanan aplikasi nya,baru tulis laporan tiba-tiba akun keluar sendiri dan masuk di akun ga jelas.pas masuk lagi ke akun sendiri laporan langsung hilang. mohon untuk meningkatkan kualitas layanan aplikasi nya,baru tulis laporan tibatiba akun keluar sendiri dan masuk di akun ga jelaspas masuk lagi ke akun sendiri laporan langsung hilang mohon untuk meningkatkan kualitas layanan aplikasi nya,baru tulis laporan tibatiba akun keluar sendiri dan masuk di akun tidak jelaspas masuk lagi ke akun sendiri laporan langsung hilang mohon untuk meningkatkan kualitas layanan aplikasi nya,"['baru', 'tulis', 'laporan', 'tibatiba', 'akun', 'keluar', 'sendiri', 'dan', 'masuk', 'di', 'akun', 'tidak', 'jelaspas', 'masuk', 'lagi', 'ke', 'akun', 'sendiri', 'laporan', 'langsung', 'hilang', 'mohon', 'untuk', 'meningkatkan', 'kualitas', 'layanan', 'aplikasi', 'nya']","['baru', 'tulis', 'laporan', 'tibatiba', 'akun', 'masuk', 'akun', 'tidak', 'jelaspas', 'masuk', 'akun', 'laporan', 'langsung', 'hilang', 'mohon', 'meningkatkan', 'kualitas', 'layanan', 'aplikasi']",baru tulis laporan tibatiba akun masuk akun tidak jelaspas masuk akun laporan langsung hilang mohon meningkatkan kualitas layanan aplikasi,negatif,19
1,Laporan tidak ditindaklanjuti,laporan tidak ditindaklanjuti,laporan tidak ditindaklanjuti,laporan tidak ditindaklanjuti,"['laporan', 'tidak', 'ditindaklanjuti']","['laporan', 'tidak', 'ditindaklanjuti']",laporan tidak ditindaklanjuti,negatif,3
5,Sangat bagus dan membantu penyelesaian masalah cuman susah memberi tanggapan,sangat bagus dan membantu penyelesaian masalah cuman susah memberi tanggapan,sangat bagus dan membantu penyelesaian masalah cuman susah memberi tanggapan,sangat bagus dan membantu penyelesaian masalah cuman susah memberi tanggapan,"['sangat', 'bagus', 'dan', 'membantu', 'penyelesaian', 'masalah', 'cuman', 'susah', 'memberi', 'tanggapan']","['bagus', 'membantu', 'penyelesaian', 'cuman', 'susah', 'tanggapan']",bagus membantu penyelesaian cuman susah tanggapan,positif,6
1,"Dibutuhkan bukan aplikasi, tapi tindak lanjut dari laporan, kl bikin apk gini doang mah org gila jg bisa. Duit rakyat hasil pajak abis semua bwt bikin apk2 yg malfungsi. Semua pd dikorupsi. Sontoloyo😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆","dibutuhkan bukan aplikasi, tapi tindak lanjut dari laporan, kl bikin apk gini doang mah org gila jg bisa. duit rakyat hasil pajak abis semua bwt bikin apk2 yg malfungsi. semua pd dikorupsi. sontoloyo😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆",dibutuhkan bukan aplikasi tapi tindak lanjut dari laporan kl bikin apk gini doang mah org gila jg bisa duit rakyat hasil pajak abis semua bwt bikin apk yg malfungsi semua pd dikorupsi sontoloyo,dibutuhkan bukan aplikasi tapi tindak lanjut dari laporan kl bikin aplikasi gini saja mah org gila jg bisa duit rakyat hasil pajak abis semua bwt bikin aplikasi yang malfungsi semua pd dikorupsi sontoloyo,"['dibutuhkan', 'bukan', 'aplikasi', 'tapi', 'tindak', 'lanjut', 'dari', 'laporan', 'kl', 'bikin', 'aplikasi', 'gini', 'saja', 'mah', 'org', 'gila', 'jg', 'bisa', 'duit', 'rakyat', 'hasil', 'pajak', 'abis', 'semua', 'bwt', 'bikin', 'aplikasi', 'yang', 'malfungsi', 'semua', 'pd', 'dikorupsi', 'sontoloyo']","['dibutuhkan', 'aplikasi', 'tindak', 'laporan', 'kl', 'bikin', 'aplikasi', 'gini', 'mah', 'org', 'gila', 'jg', 'bisa', 'duit', 'rakyat', 'hasil', 'pajak', 'abis', 'bwt', 'bikin', 'aplikasi', 'malfungsi', 'pd', 'dikorupsi', 'sontoloyo']",dibutuhkan aplikasi tindak laporan kl bikin aplikasi gini mah org gila jg bisa duit rakyat hasil pajak abis bwt bikin aplikasi malfungsi pd dikorupsi sontoloyo,negatif,25
1,"Laporan cuma di lempar lempar, sampai ke bawah eh di cuekin.","laporan cuma di lempar lempar, sampai ke bawah eh di cuekin.",laporan cuma di lempar lempar sampai ke bawah eh di cuekin,laporan cuma di lempar lempar sampai ke bawah eh di cuekin,"['laporan', 'cuma', 'di', 'lempar', 'lempar', 'sampai', 'ke', 'bawah', 'eh', 'di', 'cuekin']","['laporan', 'lempar', 'lempar', 'cuekin']",laporan lempar lempar cuekin,negatif,4
1,"lapor ran saya tidak ada responya ,percuma ngelapor","lapor ran saya tidak ada responya ,percuma ngelapor",lapor ran saya tidak ada responya percuma ngelapor,laporan ran saya tidak ada responya percuma ngelapor,"['laporan', 'ran', 'saya', 'tidak', 'ada', 'responya', 'percuma', 'ngelapor']","['laporan', 'ran', 'saya', 'tidak', 'ada', 'responya', 'ngelapor']",laporan ran saya tidak ada responya ngelapor,negatif,7
1,"Mohon untuk developer untuk memperbaiki masalah upload file lampiran. Saya upload sudah di bawah 2 MB tapi tetap tidak bisa. File yang ingin saya upload 700 KB dan itu masih tidak bisa, dengan catatan file berukuran lebih dari 2 MB.","mohon untuk developer untuk memperbaiki masalah upload file lampiran. saya upload sudah di bawah 2 mb tapi tetap tidak bisa. file yang ingin saya upload 700 kb dan itu masih tidak bisa, dengan catatan file berukuran lebih dari 2 mb.",mohon untuk developer untuk memperbaiki masalah upload file lampiran saya upload sudah di bawah mb tapi tetap tidak bisa file yang ingin saya upload kb dan itu masih tidak bisa dengan catatan file berukuran lebih dari mb,mohon untuk developer untuk memperbaiki masalah upload file lampiran saya upload sudah di bawah mb tapi tetap tidak bisa file yang ingin saya upload kb dan itu masih tidak bisa dengan catatan file berukuran lebih dari mb,"['mohon', 'untuk', 'developer', 'untuk', 'memperbaiki', 'masalah', 'upload', 'file', 'lampiran', 'saya', 'upload', 'sudah', 'di', 'bawah', 'mb', 'tapi', 'tetap', 'tidak', 'bisa', 'file', 'yang', 'ingin', 'saya', 'upload', 'kb', 'dan', 'itu', 'masih', 'tidak', 'bisa', 'dengan', 'catatan', 'file', 'berukuran', 'lebih', 'dari', 'mb']","['mohon', 'developer', 'memperbaiki', 'upload', 'file', 'lampiran', 'saya', 'upload', 'mb', 'tidak', 'bisa', 'file', 'saya', 'upload', 'kb', 'tidak', 'bisa', 'catatan', 'file', 'berukuran', 'mb']",mohon developer memperbaiki upload file lampiran saya upload mb tidak bisa file saya upload kb tidak bisa catatan file berukuran mb,negatif,21
4,Baru coba,baru coba,baru coba,baru coba,"['baru', 'coba']","['baru', 'coba']",baru coba,positif,2
1,Tidak ada tindakan yg nyata.. Jangankan selesai masalah. Upaya menyelesaikan masalah saja tidak ada..Di abaikan. Pantas saja penipu berkeliaran di media2 secara terang2an. Ingin tahu alamat penipu dan pemalsuan identitas saja tidak mampu.,tidak ada tindakan yg nyata.. jangankan selesai masalah. upaya menyelesaikan masalah saja tidak ada..di abaikan. pantas saja penipu berkeliaran di media2 secara terang2an. ingin tahu alamat penipu dan pemalsuan identitas saja tidak mampu.,tidak ada tindakan yg nyata jangankan selesai masalah upaya menyelesaikan masalah saja tidak adadi abaikan pantas saja penipu berkeliaran di media secara terangan ingin tahu alamat penipu dan pemalsuan identitas saja tidak mampu,tidak ada tindakan yang nyata jangankan selesai masalah upaya menyelesaikan masalah saja tidak adadi abaikan pantas saja penipu berkeliaran di media secara terangan ingin tahu alamat penipu dan pemalsuan identitas saja tidak mampu,"['tidak', 'ada', 'tindakan', 'yang', 'nyata', 'jangankan', 'selesai', 'masalah', 'upaya', 'menyelesaikan', 'masalah', 'saja', 'tidak', 'adadi', 'abaikan', 'pantas', 'saja', 'penipu', 'berkeliaran', 'di', 'media', 'secara', 'terangan', 'ingin', 'tahu', 'alamat', 'penipu', 'dan', 'pemalsuan', 'identitas', 'saja', 'tidak', 'mampu']","['tidak', 'ada', 'tindakan', 'nyata', 'selesai', 'upaya', 'menyelesaikan', 'tidak', 'adadi', 'abaikan', 'penipu', 'berkeliaran', 'media', 'terangan', 'alamat', 'penipu', 'pemalsuan', 'identitas', 'tidak']",tidak ada tindakan nyata selesai upaya menyelesaikan tidak adadi abaikan penipu berkeliaran media terangan alamat penipu pemalsuan identitas tidak,negatif,19
1,Aplikasi gagal proyek,aplikasi gagal proyek,aplikasi gagal proyek,aplikasi gagal proyek,"['aplikasi', 'gagal', 'proyek']","['aplikasi', 'gagal', 'proyek']",aplikasi gagal proyek,negatif,3
1,"Aplikasi apa sih ini, baru masukan password selalu gagal","aplikasi apa sih ini, baru masukan password selalu gagal",aplikasi apa sih ini baru masukan password selalu gagal,aplikasi apa sih ini baru masukan password selalu gagal,"['aplikasi', 'apa', 'sih', 'ini', 'baru', 'masukan', 'password', 'selalu', 'gagal']","['aplikasi', 'baru', 'masukan', 'password', 'gagal']",aplikasi baru masukan password gagal,negatif,5
1,"Sudah berkali kali laporan lewat aplikasi, dinasnya tidak menindak lanjuti laporan ke lapangan langsung.","sudah berkali kali laporan lewat aplikasi, dinasnya tidak menindak lanjuti laporan ke lapangan langsung.",sudah berkali kali laporan lewat aplikasi dinasnya tidak menindak lanjuti laporan ke lapangan langsung,sudah berkali kali laporan lewat aplikasi dinasnya tidak menindak lanjuti laporan ke lapangan langsung,"['sudah', 'berkali', 'kali', 'laporan', 'lewat', 'aplikasi', 'dinasnya', 'tidak', 'menindak', 'lanjuti', 'laporan', 'ke', 'lapangan', 'langsung']","['berkali', 'kali', 'laporan', 'aplikasi', 'dinasnya', 'tidak', 'menindak', 'lanjuti', 'laporan', 'lapangan', 'langsung']",berkali kali laporan aplikasi dinasnya tidak menindak lanjuti laporan lapangan langsung,negatif,11
3,"Niatnya bagus tapi pelaksanaannya kurang niat,baru download aplikasi disuruh update ulang lagi versi terbaru,udah daftar dan bener email password tapi muncul notif kalo email dan password salah padahal baru daftar udah di Cobain daftar ulang dan masih sama saja notif email dan password salah, Di coba login lewat gmail tapi server eror. cukup mengganggu sekali aplikasi yang sering eror. Saya berharap aplikasi ini dapat lebih bermanfaat digunakan untuk penyaluran pengaduan masyarakat Indonesia.","niatnya bagus tapi pelaksanaannya kurang niat,baru download aplikasi disuruh update ulang lagi versi terbaru,udah daftar dan bener email password tapi muncul notif kalo email dan password salah padahal baru daftar udah di cobain daftar ulang dan masih sama saja notif email dan password salah, di coba login lewat gmail tapi server eror. cukup mengganggu sekali aplikasi yang sering eror. saya berharap aplikasi ini dapat lebih bermanfaat digunakan untuk penyaluran pengaduan masyarakat indonesia.",niatnya bagus tapi pelaksanaannya kurang niatbaru download aplikasi disuruh update ulang lagi versi terbaruudah daftar dan bener email password tapi muncul notif kalo email dan password salah padahal baru daftar udah di cobain daftar ulang dan masih sama saja notif email dan password salah di coba login lewat gmail tapi server eror cukup mengganggu sekali aplikasi yang sering eror saya berharap aplikasi ini dapat lebih bermanfaat digunakan untuk penyaluran pengaduan masyarakat indonesia,niatnya bagus tapi pelaksanaannya kurang niatbaru download aplikasi disuruh update ulang lagi versi terbaruudah daftar dan bener email password tapi muncul notif kalo email dan password salah padahal baru daftar udah di cobain daftar ulang dan masih sama saja notif email dan password salah di coba login lewat gmail tapi server error cukup mengganggu sekali aplikasi yang sering error saya berharap aplikasi ini dapat lebih bermanfaat digunakan untuk penyaluran pengaduan masyarakat indonesia,"['niatnya', 'bagus', 'tapi', 'pelaksanaannya', 'kurang', 'niatbaru', 'download', 'aplikasi', 'disuruh', 'update', 'ulang', 'lagi', 'versi', 'terbaruudah', 'daftar', 'dan', 'bener', 'email', 'password', 'tapi', 'muncul', 'notif', 'kalo', 'email', 'dan', 'password', 'salah', 'padahal', 'baru', 'daftar', 'udah', 'di', 'cobain', 'daftar', 'ulang', 'dan', 'masih', 'sama', 'saja', 'notif', 'email', 'dan', 'password', 'salah', 'di', 'coba', 'login', 'lewat', 'gmail', 'tapi', 'server', 'error', 'cukup', 'mengganggu', 'sekali', 'aplikasi', 'yang', 'sering', 'error', 'saya', 'berharap', 'aplikasi', 'ini', 'dapat', 'lebih', 'bermanfaat', 'digunakan', 'untuk', 'penyaluran', 'pengaduan', 'masyarakat', 'indonesia']","['niatnya', 'bagus', 'pelaksanaannya', 'niatbaru', 'download', 'aplikasi', 'disuruh', 'update', 'ulang', 'versi', 'terbaruudah', 'daftar', 'bener', 'email', 'password', 'muncul', 'notif', 'kalo', 'email', 'password', 'salah', 'baru', 'daftar', 'udah', 'cobain', 'daftar', 'ulang', 'notif', 'email', 'password', 'salah', 'coba', 'login', 'gmail', 'server', 'error', 'mengganggu', 'aplikasi', 'error', 'saya', 'berharap', 'aplikasi', 'dapat', 'bermanfaat', 'penyaluran', 'pengaduan', 'masyarakat', 'indonesia']",niatnya bagus pelaksanaannya niatbaru download aplikasi disuruh update ulang versi terbaruudah daftar bener email password muncul notif kalo email password salah baru daftar udah cobain daftar ulang notif email password salah coba login gmail server error mengganggu aplikasi error saya berharap aplikasi dapat bermanfaat penyaluran pengaduan masyarakat indonesia,netral,48
4,"Aplikasi udah lumayan bagus. Tapi saya ingin menyampaikan bbrpa kritikan dan saran buat aplikasinya. Kritikan: pertama kali download, waktu mau login diminta untuk memperbarui apk pdhl baru aja dwlnd, server sering error, trs pas mau msk lagi username sama pswd salah trus pdhl udh bnr jadi terpaksa msuk pake akun google. Saran: mungkin untuk ke dpanny apk bisa di modif jdi lbih baik lgi, keamanan data pribadi jga ditingkatkan, laporan masyarakat bisa lebih cepat di tanggap agar masyarakat puas.","aplikasi udah lumayan bagus. tapi saya ingin menyampaikan bbrpa kritikan dan saran buat aplikasinya. kritikan: pertama kali download, waktu mau login diminta untuk memperbarui apk pdhl baru aja dwlnd, server sering error, trs pas mau msk lagi username sama pswd salah trus pdhl udh bnr jadi terpaksa msuk pake akun google. saran: mungkin untuk ke dpanny apk bisa di modif jdi lbih baik lgi, keamanan data pribadi jga ditingkatkan, laporan masyarakat bisa lebih cepat di tanggap agar masyarakat puas.",aplikasi udah lumayan bagus tapi saya ingin menyampaikan bbrpa kritikan dan saran buat aplikasinya kritikan pertama kali download waktu mau login diminta untuk memperbarui apk pdhl baru aja dwlnd server sering error trs pas mau msk lagi username sama pswd salah trus pdhl udh bnr jadi terpaksa msuk pake akun google saran mungkin untuk ke dpanny apk bisa di modif jdi lbih baik lgi keamanan data pribadi jga ditingkatkan laporan masyarakat bisa lebih cepat di tanggap agar masyarakat puas,aplikasi udah lumayan bagus tapi saya ingin menyampaikan bbrpa kritikan dan saran buat aplikasinya kritikan pertama kali download waktu mau login diminta untuk memperbarui aplikasi pdhl baru aja dwlnd server sering error terus pas mau msk lagi username sama pswd salah trus pdhl udh bnr jadi terpaksa msuk pake akun google saran mungkin untuk ke dpanny aplikasi bisa di modif jdi lbih baik lgi keamanan data pribadi jga ditingkatkan laporan masyarakat bisa lebih cepat di tanggap agar masyarakat puas,"['aplikasi', 'udah', 'lumayan', 'bagus', 'tapi', 'saya', 'ingin', 'menyampaikan', 'bbrpa', 'kritikan', 'dan', 'saran', 'buat', 'aplikasinya', 'kritikan', 'pertama', 'kali', 'download', 'waktu', 'mau', 'login', 'diminta', 'untuk', 'memperbarui', 'aplikasi', 'pdhl', 'baru', 'aja', 'dwlnd', 'server', 'sering', 'error', 'terus', 'pas', 'mau', 'msk', 'lagi', 'username', 'sama', 'pswd', 'salah', 'trus', 'pdhl', 'udh', 'bnr', 'jadi', 'terpaksa', 'msuk', 'pake', 'akun', 'google', 'saran', 'mungkin', 'untuk', 'ke', 'dpanny', 'aplikasi', 'bisa', 'di', 'modif', 'jdi', 'lbih', 'baik', 'lgi', 'keamanan', 'data', 'pribadi', 'jga', 'ditingkatkan', 'laporan', 'masyarakat', 'bisa', 'lebih', 'cepat', 'di', 'tanggap', 'agar', 'masyarakat', 'puas']","['aplikasi', 'udah', 'lumayan', 'bagus', 'saya', 'bbrpa', 'kritikan', 'saran', 'aplikasinya', 'kritikan', 'pertama', 'kali', 'download', 'login', 'memperbarui', 'aplikasi', 'pdhl', 'baru', 'aja', 'dwlnd', 'server', 'error', 'pas', 'msk', 'username', 'pswd', 'salah', 'trus', 'pdhl', 'udh', 'bnr', 'terpaksa', 'msuk', 'pake', 'akun', 'google', 'saran', 'dpanny', 'aplikasi', 'bisa', 'modif', 'jdi', 'lbih', 'baik', 'lgi', 'keamanan', 'data', 'pribadi', 'jga', 'ditingkatkan', 'laporan', 'masyarakat', 'bisa', 'cepat', 'tanggap', 'masyarakat', 'puas']",aplikasi udah lumayan bagus saya bbrpa kritikan saran aplikasinya kritikan pertama kali download login memperbarui aplikasi pdhl baru aja dwlnd server error pas msk username pswd salah trus pdhl udh bnr terpaksa msuk pake akun google saran dpanny aplikasi bisa modif jdi lbih baik lgi keamanan data pribadi jga ditingkatkan laporan masyarakat bisa cepat tanggap masyarakat puas,positif,57
1,Buat laporan bayak tidak di respon,buat laporan bayak tidak di respon,buat laporan bayak tidak di respon,buat laporan bayak tidak di respon,"['buat', 'laporan', 'bayak', 'tidak', 'di', 'respon']","['laporan', 'bayak', 'tidak', 'respon']",laporan bayak tidak respon,negatif,4
1,Tolong laporan kami kok nggak ada penyelesaian nya terhadap mafia tanah ke pemerintahan banyua asin oleh pihak pak Umar dan pak M Daud desa Gilirang Jalaur 13 terimakasih,tolong laporan kami kok nggak ada penyelesaian nya terhadap mafia tanah ke pemerintahan banyua asin oleh pihak pak umar dan pak m daud desa gilirang jalaur 13 terimakasih,tolong laporan kami kok nggak ada penyelesaian nya terhadap mafia tanah ke pemerintahan banyua asin oleh pihak pak umar dan pak m daud desa gilirang jalaur terimakasih,tolong laporan kami kok nggak ada penyelesaian nya terhadap mafia tanah ke pemerintahan banyua asin oleh pihak pak umar dan pak m daud desa gilirang jalaur terimakasih,"['tolong', 'laporan', 'kami', 'kok', 'nggak', 'ada', 'penyelesaian', 'nya', 'terhadap', 'mafia', 'tanah', 'ke', 'pemerintahan', 'banyua', 'asin', 'oleh', 'pihak', 'pak', 'umar', 'dan', 'pak', 'm', 'daud', 'desa', 'gilirang', 'jalaur', 'terimakasih']","['tolong', 'laporan', 'kami', 'nggak', 'ada', 'penyelesaian', 'mafia', 'tanah', 'pemerintahan', 'banyua', 'asin', 'umar', 'daud', 'desa', 'gilirang', 'jalaur', 'terimakasih']",tolong laporan kami nggak ada penyelesaian mafia tanah pemerintahan banyua asin umar daud desa gilirang jalaur terimakasih,negatif,17
1,Internal server error...,internal server error...,internal server error,internal server error,"['internal', 'server', 'error']","['internal', 'server', 'error']",internal server error,negatif,3
5,Pju mti sdh 2 minggu,pju mti sdh 2 minggu,pju mti sdh minggu,pju mti sudah minggu,"['pju', 'mti', 'sudah', 'minggu']","['pju', 'mti', 'minggu']",pju mti minggu,positif,3
